subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
pilot6blocks;0;0;0;1;False;3000;True;;8;54.226748352757106;eye;L;4.475661516189575;6.681368473917245;0;56.18;8.04;1.814603100065142;1.8149813999189064;1684235372.1326978;1684235372.1495705;1684235372.9062803;1684235373.5564778;1684235376.5553017;1684235378.3707533;[];[];[]
pilot6blocks;1;0;0;1;False;1000;True;;8;128.1258068761743;eye;L;-4.338472455739975;5.872022652626037;0;126.46;7.3;1.2495581998955458;1.2496112000662833;1684235379.18838;1684235379.199944;1684235379.9542553;1684235380.454978;1684235381.4366558;1684235382.6867247;[];[];[]
pilot6blocks;2;0;0;1;False;3000;True;;8;-132.62224816661254;eye;L;-4.2689303159713745;-5.1324837282299995;0;-129.75;6.68;1.935913100023754;1.935954699991271;1684235383.502335;1684235383.5162957;1684235384.2716563;1684235384.7718444;1684235387.7689972;1684235389.7044666;[];[];[]
pilot6blocks;3;0;0;1;False;1000;True;;8;-154.558175010568;eye;L;-6.695516854524612;-2.7022663056850433;0;-158.02;7.22;2.233611200004816;2.2336837000912055;1684235390.3951218;1684235390.399402;1684235391.154286;1684235391.656025;1684235392.6366072;1684235394.8708549;[];[];[]
pilot6blocks;4;0;0;1;False;3000;True;;8;79.31579113608889;eye;L;2.0178754925727844;7.839790301956236;0;75.57;8.1;4.234121400048025;4.234174699988216;1684235395.7005837;1684235395.716613;1684235396.4702652;1684235396.9716177;1684235399.9687808;1684235404.2031038;[];[];[]
pilot6blocks;5;0;0;1;False;1000;True;;8;68.93083684664924;eye;L;3.713213801383972;7.327465425431728;0;63.13;8.21;1.0002845999551937;1.000342599931173;1684235404.964671;1684235404.981689;1684235405.7376502;1684235406.2374287;1684235407.2190013;1684235408.219148;[];[];[]
pilot6blocks;6;0;0;1;False;3000;True;;8;-53.51247003009525;eye;L;4.954787850379944;-5.056477957963943;0;-45.58;7.08;1.0658207000233233;1.065907399985008;1684235408.912927;1684235408.9318259;1684235409.6875217;1684235410.1876352;1684235413.1879866;1684235414.2535505;[];[];[]
pilot6blocks;7;0;0;1;False;1000;True;;8;160.86371208253635;eye;L;-6.413369864225388;2.4339653000235555;0;159.22;6.86;0.9989024000242352;0.9989732999820262;1684235415.0778294;1684235415.0984843;1684235415.853375;1684235416.35381;1684235417.3363876;1684235418.3348668;[];[];[]
pilot6blocks;8;0;0;1;False;3000;True;;8;-72.00360005344933;eye;L;2.2573593854904175;-6.016098475456237;0;-69.43;6.43;1.0147575000301003;1.014852299937047;1684235419.0836568;1684235419.0982113;1684235419.8523526;1684235420.3529928;1684235423.3534758;1684235424.3682926;[];[];[]
pilot6blocks;9;0;0;1;False;1000;True;;8;143.56477726230275;eye;L;-5.759664803743362;4.353200662136078;0;142.92;7.22;0.8353625000454485;0.8354206000221893;1684235425.1955597;1684235425.2147439;1684235425.9693758;1684235426.469013;1684235427.4508858;1684235428.2865374;[];[];[]
