subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
testss;0;0;0;1;False;1000;False;;8;-112.85590892530142;eye;L;nan;nan;0;nan;nan;0.005439299973659217;0.005561900092288852;1683800432.5641475;1683800432.5792303;1683800433.336027;1683800433.819854;1683800433.821024;1683800433.8263764;[];[];[]
testss;0;0;0;1;False;1000;True;;8;17.250988230208225;eye;L;10.964341282844543;0.5423454791307449;0;2.83;10.98;2.065546799916774;2.0656478999881074;1683800434.4063995;1683800434.4122336;1683800435.168336;1683800435.6692836;1683800436.6511185;1683800438.7167537;[];[];[]
testss;1;0;0;1;False;3000;True;;8;79.44245161153307;eye;L;5.029020190238953;5.973842827230691;0;49.91;7.81;0.7487806000281125;0.7488942999625579;1683800439.4161294;1683800439.4297044;1683800440.1845152;1683800440.6861851;1683800443.6850176;1683800444.433965;[];[];[]
testss;2;0;0;1;False;1000;True;;8;-163.9355969835198;eye;L;-4.546332746744156;-3.9333558127284047;0;-139.13;6.01;1.1318887000670657;1.1319614999229088;1683800445.2390418;1683800445.2457316;1683800445.9998877;1683800446.5025632;1683800447.4827456;1683800448.6149013;[];[];[]
testss;3;0;0;1;False;3000;True;;8;-131.76094823230235;eye;L;-2.04908686876297;-5.98656109124422;0;-108.9;6.33;1.0485572000034153;1.0486120999557897;1683800449.4029303;1683800449.4119742;1683800450.1676495;1683800450.6679592;1683800453.6663346;1683800454.715125;[];[];[]
testss;4;0;0;1;False;3000;True;;8;-94.15680422839978;eye;L;3.575955092906952;-11.053502976894379;0;-72.07;11.62;0.8659656000090763;0.866019899956882;1683800455.932225;1683800455.9452198;1683800456.6998525;1683800457.201431;1683800460.199182;1683800461.065085;[];[];[]
testss;5;0;0;1;False;1000;True;;8;-32.79397264122636;eye;L;8.299723267555237;-5.083549533784389;0;-31.49;9.73;0.6998323000734672;0.6999183000298217;1683800462.0422797;1683800462.0613275;1683800462.816051;1683800463.3167317;1683800464.2994468;1683800464.9988182;[];[];[]
testss;6;0;0;1;False;3000;True;;8;-54.414180725877905;eye;L;7.063573837280273;-6.938711066544055;0;-44.49;9.9;0.7160666000563651;0.7161179999820888;1683800465.762414;1683800465.7778137;1683800466.5323668;1683800467.0330594;1683800470.0311263;1683800470.7471786;[];[];[]
testss;7;0;0;1;False;1000;True;;8;-96.72314955261191;eye;L;2.0217893719673157;-8.548839823901652;0;-76.69;8.78;0.5828804000047967;0.58300500002224;1683800471.5189853;1683800471.527932;1683800472.281868;1683800472.7827814;1683800473.7647176;1683800474.3473275;[];[];[]
testss;8;0;0;1;False;1000;False;;8;-17.55856167851703;eye;L;nan;nan;0;nan;nan;0.0014216999989002943;0.0016365000046789646;1683800475.0374494;1683800475.0444787;1683800475.79848;1683800476.2815495;1683800476.2826452;1683800476.2843816;[];[];[]
testss;8;0;0;1;False;1000;True;;8;66.03774563992462;eye;L;4.21836245059967;4.437079433351755;0;46.45;6.12;0.7329927000682801;0.7330514000495896;1683800476.854027;1683800476.8608;1683800477.614311;1683800478.1159897;1683800479.097794;1683800479.8309069;[];[];[]
testss;9;0;0;1;False;3000;True;;8;35.34118949697239;eye;L;10.414289474487305;2.076896768063307;0;11.28;10.62;0.963748500100337;0.9638927000341937;1683800480.8635283;1683800480.8775773;1683800481.6334152;1683800482.1332836;1683800485.1337566;1683800486.097258;[];[];[]
