subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
testtt;0;0;0;1;False;1000;False;;8;100.92163427096355;eye;L;nan;nan;0;nan;nan;0.0015501000452786684;0.0016090000281110406;1684226013.75825;1684226013.7673447;1684226014.5199988;1684226015.0047462;1684226015.005729;1684226015.0072105;[];[];[]
testtt;0;0;0;1;False;1000;True;;8;-11.572796938361547;eye;L;8.30739814043045;-1.259774699807167;0;-8.62;8.4;0.783170499955304;0.783253200002946;1684226015.5571663;1684226015.5674295;1684226016.3239596;1684226016.8229475;1684226017.804435;1684226018.5875938;[];[];[]
testtt;1;0;0;1;False;3000;True;;8;74.81761618045157;eye;L;2.620053470134735;6.6888494163751595;0;68.61;7.18;1.0488259000703692;1.0488921999931335;1684226019.4649286;1684226019.485934;1684226020.238924;1684226020.7387087;1684226023.7391818;1684226024.7879918;[];[];[]
testtt;2;0;0;1;False;3000;True;;8;-101.38140938273773;eye;L;-0.8778018355369568;-7.276320701837539;0;-96.88;7.33;2.1500967000611126;2.1502130000153556;1684226025.5914834;1684226025.601374;1684226026.3556414;1684226026.855196;1684226029.856029;1684226032.005552;[];[];[]
testtt;3;0;0;1;False;1000;True;;8;-33.28303846048309;eye;L;7.3461726903915405;-3.9139961913228034;0;-28.05;8.32;1.2166705999989063;1.2167431999696419;1684226032.7531266;1684226032.7682042;1684226033.5231907;1684226034.0235553;1684226035.0039496;1684226036.2207294;[];[];[]
testtt;4;0;0;1;False;1000;False;;8;-36.5312297891853;eye;L;nan;nan;0;nan;nan;0.0016633999766781926;0.001752600073814392;1684226036.9664574;1684226036.9841974;1684226037.7205634;1684226037.7205634;1684226037.7205634;1684226037.722926;[];[];[]
testtt;4;0;0;1;False;1000;True;;8;-129.21784272577568;eye;L;-3.636500746011734;-5.91407376229763;0;-121.59;6.94;1.1638864000560716;1.1639584000222385;1684226038.2918184;1684226038.3007762;1684226039.0536096;1684226039.5553443;1684226040.5385299;1684226041.7033286;[];[];[]
testtt;5;0;0;1;False;3000;True;;8;143.44962589448068;eye;L;-6.034952878952026;4.288117691874504;0;144.6;7.4;0.900284199975431;0.9003487000009045;1684226042.3908734;1684226042.401145;1684226043.1536303;1684226043.655952;1684226046.6541886;1684226047.5551138;[];[];[]
testtt;6;0;0;1;False;1000;True;;8;139.71716618069377;eye;L;-4.970877110958099;4.7395708389580244;0;136.36;6.87;0.8666397999040782;0.8667221000650898;1684226048.4257748;1684226048.434133;1684226049.186482;1684226049.6884325;1684226050.6693323;1684226051.536681;[];[];[]
testtt;7;0;0;1;False;3000;True;;8;125.9887145857453;eye;L;-4.375948756933212;4.250792084634304;0;135.83;6.1;1.3471548999659717;1.3472486999817193;1684226052.3640258;1684226052.3834407;1684226053.1395967;1684226053.6380677;1684226056.638204;1684226057.9862452;[];[];[]
